timestamp_ms,vehicles_left,intensity_left,vehicles_right,intensity_right
8600.0,1,Smooth,1,Smooth
8633.333333333332,1,Smooth,1,Smooth
8666.666666666666,1,Smooth,2,Smooth
8700.0,1,Smooth,2,Smooth
8733.333333333332,1,Smooth,1,Smooth
8766.666666666666,1,Smooth,3,Smooth
8800.0,1,Smooth,3,Smooth
8833.333333333334,1,Smooth,3,Smooth
8866.666666666668,2,Smooth,3,Smooth
8900.0,1,Smooth,3,Smooth
8933.333333333334,2,Smooth,3,Smooth
8966.666666666666,2,Smooth,2,Smooth
9000.0,2,Smooth,3,Smooth
9033.333333333334,2,Smooth,3,Smooth
9066.666666666666,2,Smooth,3,Smooth
9100.0,2,Smooth,3,Smooth
9133.333333333332,2,Smooth,3,Smooth
9166.666666666666,2,Smooth,3,Smooth
9200.0,2,Smooth,3,Smooth
9233.333333333332,3,Smooth,3,Smooth
9266.666666666666,3,Smooth,3,Smooth
9300.0,3,Smooth,3,Smooth
9333.333333333334,3,Smooth,3,Smooth
9366.666666666668,3,Smooth,3,Smooth
9400.0,3,Smooth,3,Smooth
9433.333333333334,3,Smooth,3,Smooth
9466.666666666666,3,Smooth,3,Smooth
9500.0,3,Smooth,3,Smooth
9533.333333333334,3,Smooth,3,Smooth
9566.666666666666,3,Smooth,4,Smooth
9600.0,3,Smooth,4,Smooth
9633.333333333332,3,Smooth,3,Smooth
9666.666666666666,3,Smooth,4,Smooth
9700.0,2,Smooth,4,Smooth
9733.333333333332,2,Smooth,4,Smooth
9766.666666666666,2,Smooth,4,Smooth
9800.0,2,Smooth,4,Smooth
9833.333333333334,2,Smooth,3,Smooth
9866.666666666668,2,Smooth,3,Smooth
9900.0,2,Smooth,3,Smooth
9933.333333333334,2,Smooth,3,Smooth
9966.666666666666,2,Smooth,2,Smooth
10000.0,2,Smooth,3,Smooth
10033.333333333334,2,Smooth,3,Smooth
10066.666666666666,2,Smooth,2,Smooth
10100.0,2,Smooth,2,Smooth
10133.333333333332,3,Smooth,2,Smooth
10166.666666666666,3,Smooth,2,Smooth
10200.0,3,Smooth,2,Smooth
10233.333333333332,3,Smooth,2,Smooth
10266.666666666666,3,Smooth,3,Smooth
10300.0,3,Smooth,3,Smooth
10333.333333333334,3,Smooth,3,Smooth
10366.666666666668,3,Smooth,3,Smooth
10400.0,3,Smooth,3,Smooth
10433.333333333334,3,Smooth,3,Smooth
10466.666666666666,2,Smooth,3,Smooth
10500.0,2,Smooth,3,Smooth
10533.333333333334,2,Smooth,3,Smooth
10566.666666666666,2,Smooth,2,Smooth
10600.0,2,Smooth,2,Smooth
10633.333333333332,2,Smooth,2,Smooth
10666.666666666666,2,Smooth,2,Smooth
